"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NL","18.12.2023 00:00 - 18.12.2023 00:15 (CET/CEST)","0","n/e","n/e","1187","1271","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","198","n/e","0","48","3152","968"
"BZN|NL","18.12.2023 00:15 - 18.12.2023 00:30 (CET/CEST)","0","n/e","n/e","1114","1271","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","193","n/e","0","48","3117","949"
"BZN|NL","18.12.2023 00:30 - 18.12.2023 00:45 (CET/CEST)","0","n/e","n/e","1083","1274","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","194","n/e","0","46","3107","952"
"BZN|NL","18.12.2023 00:45 - 18.12.2023 01:00 (CET/CEST)","0","n/e","n/e","1087","1273","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","195","n/e","0","47","3091","918"
"BZN|NL","18.12.2023 01:00 - 18.12.2023 01:15 (CET/CEST)","0","n/e","n/e","1173","1264","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","230","n/e","0","48","3022","891"
"BZN|NL","18.12.2023 01:15 - 18.12.2023 01:30 (CET/CEST)","0","n/e","n/e","1138","1261","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","207","n/e","0","47","2984","888"
"BZN|NL","18.12.2023 01:30 - 18.12.2023 01:45 (CET/CEST)","0","n/e","n/e","1120","1289","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","200","n/e","0","47","2940","871"
"BZN|NL","18.12.2023 01:45 - 18.12.2023 02:00 (CET/CEST)","0","n/e","n/e","1128","1281","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","194","n/e","0","47","2938","884"
"BZN|NL","18.12.2023 02:00 - 18.12.2023 02:15 (CET/CEST)","0","n/e","n/e","1197","1281","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","228","n/e","0","48","2935","855"
"BZN|NL","18.12.2023 02:15 - 18.12.2023 02:30 (CET/CEST)","0","n/e","n/e","1182","1284","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","229","n/e","0","47","2913","816"
"BZN|NL","18.12.2023 02:30 - 18.12.2023 02:45 (CET/CEST)","0","n/e","n/e","1128","1286","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","197","n/e","0","47","2872","807"
"BZN|NL","18.12.2023 02:45 - 18.12.2023 03:00 (CET/CEST)","0","n/e","n/e","1122","1286","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","196","n/e","0","48","2848","797"
"BZN|NL","18.12.2023 03:00 - 18.12.2023 03:15 (CET/CEST)","0","n/e","n/e","1135","1319","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","200","n/e","0","49","2839","834"
